date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:20	13800/13800	---M--	200	added ('OK')	application/javascript	date:Tue,%2012%20Mar%202024%2002:49:58%20GMT	https://bengkeltop24jam.id/assets/vendor/aos/aos.js	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/vendor/aos/aos.js	(from https://bengkeltop24jam.id/)
15:58:20	80721/80721	---M--	200	added ('OK')	application/javascript	date:Tue,%2012%20Mar%202024%2002:49:58%20GMT	https://bengkeltop24jam.id/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://bengkeltop24jam.id/)
15:58:20	56300/56300	---M--	200	added ('OK')	application/javascript	date:Sun,%2007%20Apr%202024%2015:11:34%20GMT	https://bengkeltop24jam.id/assets/vendor/glightbox/js/glightbox.min.js	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/vendor/glightbox/js/glightbox.min.js	(from https://bengkeltop24jam.id/)
15:58:20	35445/35445	---M--	200	added ('OK')	application/javascript	date:Tue,%2012%20Mar%202024%2002:49:58%20GMT	https://bengkeltop24jam.id/assets/vendor/isotope-layout/isotope.pkgd.min.js	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/vendor/isotope-layout/isotope.pkgd.min.js	(from https://bengkeltop24jam.id/)
15:58:20	149982/149982	---M--	200	added ('OK')	application/javascript	date:Sat,%2020%20Apr%202024%2006:09:20%20GMT	https://bengkeltop24jam.id/assets/vendor/swiper/swiper-bundle.min.js	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/vendor/swiper/swiper-bundle.min.js	(from https://bengkeltop24jam.id/)
15:58:21	2734/2734	---M--	200	added ('OK')	application/javascript	date:Tue,%2012%20Mar%202024%2002:49:58%20GMT	https://bengkeltop24jam.id/assets/vendor/php-email-form/validate.js	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/vendor/php-email-form/validate.js	(from https://bengkeltop24jam.id/)
15:58:21	6523/6523	---M--	200	added ('OK')	application/javascript	date:Sun,%2017%20Mar%202024%2007:37:08%20GMT	https://bengkeltop24jam.id/assets/js/main.js	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/js/main.js	(from https://bengkeltop24jam.id/)
15:58:22	130396/130396	---M--	200	added ('OK')	font/woff2	date:Tue,%2012%20Mar%202024%2002:49:58%20GMT	https://bengkeltop24jam.id/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/vendor/bootstrap-icons/fonts/bootstrap-icons0107.woff2	(from https://bengkeltop24jam.id/assets/vendor/bootstrap-icons/bootstrap-icons.css)
15:58:22	176032/176032	---M--	200	added ('OK')	font/woff	date:Tue,%2012%20Mar%202024%2002:49:58%20GMT	https://bengkeltop24jam.id/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?dd67030699838ea613ee6dbda90effa6	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/vendor/bootstrap-icons/fonts/bootstrap-icons0107.woff	(from https://bengkeltop24jam.id/assets/vendor/bootstrap-icons/bootstrap-icons.css)
15:58:22	115680/115680	---M--	200	added ('OK')	font/woff2	date:Tue,%2012%20Mar%202024%2002:49:58%20GMT	https://bengkeltop24jam.id/assets/vendor/boxicons/fonts/boxicons.woff2	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/vendor/boxicons/fonts/boxicons.woff2	(from https://bengkeltop24jam.id/assets/vendor/boxicons/css/boxicons.min.css)
